"","progression","gamma_slowing","n","K","trial_number","p_value_mmrm","drop_first_occasions","constraints","interpolation","inference","B","p_value_TCT_common","estimate","conf_int_TCT_common_lower","conf_int_TCT_common_upper","se_TCT_common","se_TCT_common_bs","conf_int_TCT_common_lower_bs","conf_int_TCT_common_upper_bs"
"20","normal",1,50,5,2,0.544506609249704,1,FALSE,"spline","least-squares",0,0.0974825552310394,0.757376955350591,0.049885977831873,6.97091940723417,0.166444988243072,NA,NA,NA
"21","normal",1,50,5,3,0.499783443761094,0,TRUE,"spline","wald",0,0.571704155696933,1.25799189166166,0.36388767234321,2.15209611098011,0.456184004589387,NA,NA,NA
"22","normal",1,50,5,3,0.499783443761094,0,TRUE,"spline","score",0,0.332060770191608,1.41263134893743,0.59468116724345,3.4426971879953,0.50062136575166,NA,NA,NA
"23","normal",1,50,5,3,0.499783443761094,0,TRUE,"spline","least-squares",0,0.152833092182407,1.5790144924791,0.730186935295899,3.07516399313199,0.534805067383836,NA,NA,NA
"24","normal",1,50,5,3,0.499783443761094,0,FALSE,"spline","wald",0,0.571704155696933,1.25799189166166,0.36388767234321,2.15209611098011,0.456184004589387,NA,NA,NA
"25","normal",1,50,5,3,0.499783443761094,0,FALSE,"spline","score",0,0.332060770191608,1.41263134893743,0.59468116724345,3.4426971879953,0.50062136575166,NA,NA,NA
"26","normal",1,50,5,3,0.499783443761094,0,FALSE,"spline","least-squares",500,0.152833092182407,1.5790144924791,0.730186935295899,3.07516399313199,0.534805067383836,0.794311105983621,0.544731524682194,3.28319302849948
"27","normal",1,50,5,3,0.499783443761094,1,TRUE,"spline","wald",0,0.566642246394577,1.26140897410718,0.367257242455971,2.15556070575838,0.456208246020927,NA,NA,NA
"28","normal",1,50,5,3,0.499783443761094,1,TRUE,"spline","least-squares",0,0.161451320670386,1.56312308653911,0.71420270373467,3.34482060654576,0.528187966972349,NA,NA,NA
"29","normal",1,50,5,3,0.499783443761094,1,FALSE,"spline","wald",0,0.566642246394577,1.26140897410718,0.367257242455971,2.15556070575838,0.456208246020927,NA,NA,NA
"30","normal",1,50,5,3,0.499783443761094,1,FALSE,"spline","least-squares",0,0.161451320670386,1.56312308653911,0.71420270373467,3.34482060654576,0.528187966972349,NA,NA,NA
"31","normal",1,50,5,4,0.361828326184805,0,TRUE,"spline","wald",0,8.31016950697538e-06,0.281301378883917,-0.0347436931863591,0.597346450954193,0.161250448764977,NA,NA,NA
"32","normal",1,50,5,4,0.361828326184805,0,TRUE,"spline","score",0,0.0688763232029193,0.0936899854970005,-0.555845246161149,1.09836508592375,0.209010149192887,NA,NA,NA
"33","normal",1,50,5,4,0.361828326184805,0,TRUE,"spline","least-squares",0,0.529338967864065,0.792022019796351,0.50018914795141,1.54532580714243,0.174188010709175,NA,NA,NA
"34","normal",1,50,5,4,0.361828326184805,0,FALSE,"spline","wald",0,3.39260737434177e-05,0.31311421897335,-0.0116506057383669,0.637879043685067,0.165699383903695,NA,NA,NA
"35","normal",1,50,5,4,0.361828326184805,0,FALSE,"spline","score",0,0.0637346383859088,0.0554813179574975,-0.624917905926921,1.07233781406154,0.209423501144518,NA,NA,NA
"36","normal",1,50,5,4,0.361828326184805,0,FALSE,"spline","least-squares",500,0.567829526241452,0.789866511376061,0.498592466325308,1.58013165830346,0.183486888080298,0.3937059878713,0.0916959774155832,1.60487759771424
"37","normal",1,50,5,4,0.361828326184805,1,TRUE,"spline","wald",0,1.1116154417623e-05,0.28967475321773,-0.0271518801638078,0.606501386599267,0.161649211863394,NA,NA,NA
"38","normal",1,50,5,4,0.361828326184805,1,TRUE,"spline","least-squares",0,0.542720603320092,0.821466455994601,0.542480054120611,1.42791816908441,0.140374737473565,NA,NA,NA
"39","normal",1,50,5,4,0.361828326184805,1,FALSE,"spline","wald",0,2.88236913965623e-05,0.301788814702049,-0.0253951858320318,0.628972815236129,0.166933679962931,NA,NA,NA
"40","normal",1,50,5,4,0.361828326184805,1,FALSE,"spline","least-squares",0,0.531434847418086,0.819463145439228,0.541829033817503,1.41461652415093,0.141208593165955,NA,NA,NA
"41","normal",1,50,5,5,0.467421257154508,0,TRUE,"spline","wald",0,0.00448795113550982,0.608626372317832,0.338686066061902,0.878566678573763,0.137727176818138,NA,NA,NA
"42","normal",1,50,5,5,0.467421257154508,0,TRUE,"spline","score",0,0.204925150485069,0.681821843506296,-0.143700090828669,1.51855979931225,0.216284620245847,NA,NA,NA
"43","normal",1,50,5,5,0.467421257154508,0,TRUE,"spline","least-squares",0,0.144536124788734,0.599275549143783,-0.166707724931683,1.20366057277994,0.22683469109478,NA,NA,NA
"44","normal",1,50,5,5,0.467421257154508,0,FALSE,"spline","wald",0,0.00448795113550982,0.608626372317832,0.338686066061902,0.878566678573763,0.137727176818138,NA,NA,NA
"45","normal",1,50,5,5,0.467421257154508,0,FALSE,"spline","score",0,0.204925150485069,0.681821843506296,-0.143700090828669,1.51855979931225,0.216284620245847,NA,NA,NA
